"","x"
"282",0.00138168688863516
"283",7.29691237211227e-05
"284",0.000250688754022121
"285",0.000730459578335285
"286",8.5076317191124e-05
"287",0.000753928907215595
"288",0.000449712388217449
"289",0.00188946723937988
"290",0.000152504071593285
"291",0.000347732566297054
"292",0.000406662002205849
"293",0.00189382117241621
"294",0.000589899718761444
"295",1.8952414393425e-05
"296",9.05012711882591e-05
"297",0.0015245983377099
"298",2.45170667767525e-05
"299",0.000112573616206646
"300",0.000290689058601856
"301",0.000647618435323238
"302",0.000162655487656593
"303",0.00025781337171793
"304",0.00261899549514055
"305",0.000455277040600777
"306",0.00209345016628504
"307",0.000122888013720512
"308",7.38771632313728e-05
"309",0.0013074604794383
"310",0.00290058087557554
"311",0.000269850715994835
"312",0.0024392968043685
"313",0.00290973111987114
"314",0.00166057143360376
"315",0.00128070823848248
"316",0.00132662244141102
"317",0.000254204496741295
"318",0.00292537733912468
"319",0.000135507434606552
"320",1.23633071780205e-05
"321",0.00268842559307814
"322",0.00343404244631529
"323",0.000803149305284023
"324",0.000452040694653988
"325",0.00136182643473148
"326",0.000108173117041588
"327",0.000458955764770508
"328",0.000462401658296585
"329",0.00039529986679554
"330",0.000152061693370342
"331",0.000774534419178963
"332",0.000327895395457745
"333",0.00288160517811775
"334",0.00062393955886364
"335",0.000708759762346745
"336",1.95344910025597e-05
"337",0.00090855173766613
"338",0.000461703166365623
"339",0.000511063262820244
"340",0.000783335417509079
"341",0.000535906292498112
"342",0.00185286626219749
"343",5.2526593208313e-05
"344",6.02565705776215e-05
"345",0.000495137646794319
"346",0.000345916487276554
"347",0.00250721350312233
"348",0.000467966310679913
"349",0.00142937060445547
"350",0.00503186602145433
"351",0.000399863347411156
"352",0.00177735928446054
"353",0.00205482356250286
"354",0.00119386240839958
"355",0.00208581332117319
"356",0.000232853926718235
"357",0.000452157109975815
"358",0.000391365028917789
"359",0.000240420922636986
"360",1.99535861611366e-05
"361",0.000388408079743385
"362",0.00207845587283373
"363",0.000296067446470261
"364",0.00083243940025568
"365",0.000504613853991032
"366",0.002082041464746
"367",0.000582938082516193
"368",0.000921799801290035
"369",0.000893743708729744
"370",0.000146357342600822
"371",0.00271368771791458
"372",0.000992068089544773
"373",0.0003851018846035
"374",0.000665243715047836
"375",0.00167880207300186
"376",0.000780378468334675
"377",0.00163507647812366
"378",0.00244181137531996
"379",0.00106326770037413
"380",0.00157712493091822
"381",0.000627781264483929
"382",0.00011073425412178
"383",0.000390433706343174
"384",0.000244751572608948
"385",0.000365730375051498
"386",0.00105579383671284
"387",0.00120333861559629
"388",0.000410480424761772
"389",0.00571522396057844
"390",0.000232341699302197
"391",0.000744173303246498
"392",0.000500422902405262
"393",0.00201056245714426
"394",0.00223841052502394
"395",0.000671716406941414
"396",0.00132089480757713
"397",0.000790529884397984
"398",0.000374484807252884
"399",0.00175568275153637
"400",0.00121707562357187
"401",0.000374088995158672
"402",0.00242087990045547
"403",0.00173926819115877
"404",0.000788806937634945
"405",0.000463076867163181
